,LATNUM,LONGNUM
265,11.895752,-0.287414
266,12.248691,-0.729696
267,12.769532,0.186576
268,13.583236,-0.748984
269,13.204878,-2.36128
270,12.592341,-1.294339
271,12.035015,-4.693205
272,11.536316,-1.205698
273,12.004076,-0.851235
274,13.677582,-1.894983
275,14.86258,-0.085602
276,14.026053,-0.809787
277,12.287575,-1.707113
278,11.964821,-0.24321
279,12.640038,-1.758769
280,11.357603,-2.577427
281,12.998236,0.086903
282,12.075729,-3.956852
283,12.811473,-1.73325
284,11.897956,-0.054754
285,10.831734,-4.965174
286,13.403679,-0.358046
287,10.622802,-4.761261
288,11.707415,-4.522043
289,12.186145,-2.120924
290,13.343137,-2.625607
291,10.208403,-4.429914
292,13.639216,-0.814314
293,12.371961,-1.559358
294,13.186471,-1.651498
295,12.128236,-0.514795
296,12.282994,-1.36911
297,12.694398,-2.192762
298,12.455299,-2.38093
299,12.220476,-0.427937
300,12.78981,-2.254775
301,13.092391,-0.077645
302,9.941013,-4.296581
303,13.258969,-2.564167
305,11.177353,-1.138236
306,11.183358,-0.56968
307,12.592799,-1.503142
308,11.195789,-4.272029
309,11.79052,-0.569196
310,10.813428,-4.163601
311,11.320427,-0.583526
312,12.258216,-0.419454
313,12.970648,-0.151621
314,12.700375,-1.247436
315,11.956882,-0.192195
316,13.3188,-2.065677
317,12.826217,-0.814767
318,13.585495,-2.422848
319,11.254255,0.033555
320,13.589034,-2.412792
321,12.251216,-2.434317
322,11.744314,-4.854744
323,13.677286,-0.039002
324,12.980585,-2.266667
326,13.352234,-1.507429
327,14.186279,-0.11178
328,12.242809,-2.352423
329,12.298073,-0.803843
330,12.536829,-2.844209
331,12.902262,0.903381
332,12.386395,-1.509997
333,14.441221,-0.909232
334,13.559858,-2.428512
335,11.166761,-4.256561
336,12.143725,-1.030671
338,12.162735,-1.589641
339,13.186778,-1.297805
340,11.57336,-2.411846
341,12.262432,-1.390303
342,12.543533,-1.399779
343,11.509698,-0.777703
344,11.790649,1.731936
345,12.25698,-0.388755
346,10.257082,-4.381896
347,12.528956,-1.196978
348,13.813147,0.304598
349,13.208367,-3.965377
350,11.695652,-1.074779
351,10.634532,-4.766649
352,12.448398,-1.67997
353,12.388334,-1.533248
354,12.171251,-2.065187
355,11.73321,-1.086044
356,14.148024,-1.613362
357,12.725299,-3.872171
358,10.736951,-5.426079
359,11.485226,-4.081632
360,12.694627,-2.711821
361,11.242751,-2.955866
362,12.618552,-0.36644
363,12.249381,-2.365934
364,10.131662,-3.557605
365,11.993644,-2.365346
366,13.741685,-1.581624
367,12.646917,-3.46229
368,13.551302,-2.434445
369,13.875668,-0.173358
370,13.816515,-1.380891
371,12.447015,0.181769
372,13.058062,-1.100752
373,11.379064,-0.697035
374,11.043703,-2.999686
375,11.251857,-2.949807
376,13.047005,0.882009
377,11.461389,-2.208486
378,14.22643,-1.974221
379,12.398234,-1.535658
380,12.551232,-1.845569
381,12.790929,-3.957439
382,10.355025,-5.238054
383,12.389685,-1.564216
384,11.842767,-3.821941
385,12.353514,-1.528535
386,11.867146,-4.051348
387,13.329245,0.122144
388,11.363419,-4.535198
389,10.114581,-4.862984
390,10.63046,-4.769694
391,12.373944,-2.355207
392,12.2486,-2.350059
393,12.001358,-1.659332
395,12.068658,-1.332025
396,12.137764,-1.883106
397,14.561391,0.143704
398,11.66976,-3.273259
400,12.967085,-1.827607
401,11.876435,-4.460287
402,12.01625,-4.41694
403,13.589477,-2.492574
404,12.223548,-2.59515
405,13.996508,-0.029125
406,11.854049,-5.142638
407,12.064353,0.374299
408,13.38249,-0.746998
409,11.406172,1.196131
410,11.14347,-3.080345
411,12.585965,-1.298363
412,11.502567,-3.681633
413,11.112584,-0.955268
414,13.647813,-2.566652
415,11.336221,-0.303226
416,12.644875,-0.960014
418,12.056538,0.350976
419,11.792843,-0.564856
420,11.554794,-1.775294
421,10.32665,-3.183837
422,12.327382,-0.406964
423,13.083015,-1.834961
424,11.190579,-1.997572
425,11.697207,-0.344038
426,11.426343,-1.381957
427,12.376286,-1.188023
428,10.383653,-2.996743
429,10.630398,-4.77645
430,12.040925,-3.493428
431,11.191326,-4.282979
432,11.212238,-4.310824
433,11.102155,0.333343
434,11.120297,-0.594341
435,10.442183,-3.334234
436,13.993405,-2.308109
437,13.093646,-0.364929
439,10.545021,-5.273976
440,12.76901,-1.27265
441,12.46464,-0.110424
442,13.721992,-2.21199
443,13.851204,-1.179064
444,11.159127,-4.295897
445,12.601785,-0.192544
446,14.452468,-0.245032
447,12.713106,-2.488405
448,10.881251,-2.930968
449,10.347889,-4.337852
450,10.624337,-4.756476
451,10.974218,-4.876232
452,13.2836,-3.258388
453,13.519701,-2.620155
455,9.954858,-2.794257
456,12.860724,0.326522
457,11.097515,0.731167
458,11.397592,-2.942768
459,12.592017,-3.945122
460,12.330987,-1.478994
461,11.243352,-2.958814
462,11.452243,-2.790469
463,13.167687,-0.814886
464,13.07033,-3.559745
465,11.752847,-0.764124
466,11.363892,-0.293475
467,11.442055,-2.786123
468,12.391638,-1.462193
469,13.373278,-2.131278
470,11.204415,-4.297611
471,12.934387,-2.620625
472,13.070604,-1.096355
473,10.74851,-4.094118
474,11.870668,-2.942567
475,13.569918,-1.893305
476,11.654884,-1.075718
477,10.513599,-4.822247
478,13.095385,-1.090788
479,12.744098,-3.859142
480,12.251192,-1.581051
481,12.783068,-0.610924
482,12.839418,-1.067768
483,13.752523,-2.346876
484,11.771479,-0.655307
485,12.186343,-4.08901
486,11.130743,-4.437887
487,12.079416,1.789295
488,12.175871,-0.356797
489,13.538765,0.679458
490,12.175888,-1.226494
491,12.940374,0.381428
492,11.087771,-2.10359
493,13.273035,0.712112
494,11.238611,-4.274214
495,14.536416,-0.459484
496,11.189195,-4.318553
497,11.578485,0.105907
498,11.363397,-2.384303
499,13.006654,-1.345063
500,11.159782,-0.215948
501,12.387581,-1.528822
502,11.167405,-4.286782
503,13.190095,-1.035312
505,12.34753,-1.493396
506,12.464283,1.50439
507,10.674515,-4.255616
508,11.146319,-4.282809
509,12.194297,-0.352792
510,11.83455,-0.693099
511,13.091725,0.571657
512,14.043953,-0.030608
513,13.583976,-2.425593
514,10.994097,-5.218124
515,12.109647,-1.040344
516,11.186177,-4.307324
517,12.037012,0.740057
518,12.613016,-0.977535
519,12.081043,-0.51103
520,10.007018,-3.627285
521,11.952109,-0.872154
522,13.206254,-1.911657
523,13.351798,-1.535403
524,12.355897,-1.492926
525,13.630751,-1.516146
526,12.329422,-1.590936
527,12.393336,-1.559205
528,13.231,-1.113614
529,13.444699,-1.956942
530,12.141927,-1.299773
531,10.464185,-4.791334
532,10.456592,-4.003386
533,13.092011,-1.066619
535,12.310702,-1.524812
537,12.255739,-0.614247
538,11.502119,-0.348968
540,13.63903,-1.10899
541,13.496408,-1.263175
542,10.64108,-5.167399
543,12.370724,-4.019519
544,11.16891,-1.146057
545,11.997972,-0.409835
546,12.58782,-2.366276
547,14.033615,0.089241
548,12.048887,0.36877
549,13.06306,-2.62337
550,12.061484,-0.976936
551,13.613753,-0.248096
552,13.435297,0.520293
553,13.323784,-1.522191
555,13.086207,-0.126676
556,11.080846,-0.861381
557,14.23567,-0.872926
558,12.24622,-2.398936
559,12.203002,-1.868547
560,11.904467,-3.465519
561,11.797401,-0.376584
562,11.034025,-0.814666
563,12.76446,-2.900882
564,12.40378,-1.511805
565,10.621843,-4.755031
566,11.176953,-1.138362
567,11.689309,0.068627
568,11.052767,-4.008397
569,11.402245,-3.334481
570,10.626241,-4.760326
571,10.759897,-5.365348
0,11.76553,-2.00144
